AdSpendKey,WeekStartDate,DateKey,Year,Month,MonthName,YearMonth,ChannelKey,Budget,Spend,Impressions,Clicks,Conversions,RevenueGenerated,ROAS,CPA,CTR,CVR
1,2023-01-01,20230101,2023,1,January,2023-01,1,411.25,388.13,7217,309,15,865.04,2.1,27.42,0.0428,0.0485
2,2023-01-08,20230108,2023,1,January,2023-01,1,452.02,438.46,2316,75,2,172.95,0.38,226.01,0.0324,0.0267
3,2023-01-15,20230115,2023,1,January,2023-01,1,501.48,455.73,2620,143,6,538.91,1.07,83.58,0.0546,0.042
4,2023-01-22,20230122,2023,1,January,2023-01,1,397.48,396.82,1992,85,2,127.69,0.32,198.74,0.0427,0.0235
5,2023-01-01,20230101,2023,1,January,2023-01,2,278.83,264.4,2850,68,2,124.57,0.45,139.42,0.0239,0.0294
6,2023-01-08,20230108,2023,1,January,2023-01,2,287.32,261.66,4366,112,2,124.18,0.43,143.66,0.0257,0.0179
7,2023-01-15,20230115,2023,1,January,2023-01,2,327.01,298.96,4716,233,10,930.37,2.85,32.7,0.0494,0.0429
8,2023-01-22,20230122,2023,1,January,2023-01,2,303.86,277.91,2205,76,1,55.67,0.18,303.86,0.0345,0.0132
9,2023-01-01,20230101,2023,1,January,2023-01,3,511.67,489.38,5351,131,3,278.27,0.54,170.56,0.0245,0.0229
10,2023-01-08,20230108,2023,1,January,2023-01,3,431.03,422.96,10692,335,9,572.93,1.33,47.89,0.0313,0.0269
11,2023-01-15,20230115,2023,1,January,2023-01,3,504.0,494.67,16954,610,13,786.24,1.56,38.77,0.036,0.0213
12,2023-01-22,20230122,2023,1,January,2023-01,3,457.23,419.36,7328,228,5,420.41,0.92,91.45,0.0311,0.0219
13,2023-01-01,20230101,2023,1,January,2023-01,4,334.54,331.42,4550,151,5,310.79,0.93,66.91,0.0332,0.0331
14,2023-01-08,20230108,2023,1,January,2023-01,4,405.45,398.66,3854,136,5,330.48,0.82,81.09,0.0353,0.0368
15,2023-01-15,20230115,2023,1,January,2023-01,4,400.57,378.04,3949,126,4,181.97,0.45,100.14,0.0319,0.0317
16,2023-01-22,20230122,2023,1,January,2023-01,4,353.41,334.32,2279,73,2,150.14,0.42,176.7,0.032,0.0274
17,2023-01-01,20230101,2023,1,January,2023-01,5,163.79,148.91,1880,58,1,62.07,0.38,163.79,0.0309,0.0172
18,2023-01-08,20230108,2023,1,January,2023-01,5,163.12,157.58,2465,77,2,167.93,1.03,81.56,0.0312,0.026
19,2023-01-15,20230115,2023,1,January,2023-01,5,177.14,165.78,7787,331,9,611.89,3.45,19.68,0.0425,0.0272
20,2023-01-22,20230122,2023,1,January,2023-01,5,175.2,158.77,4704,275,5,302.46,1.73,35.04,0.0585,0.0182
21,2023-01-01,20230101,2023,1,January,2023-01,8,180.07,173.14,6746,519,20,1543.89,8.57,9.0,0.0769,0.0385
22,2023-01-08,20230108,2023,1,January,2023-01,8,175.91,160.91,3264,219,9,533.68,3.03,19.55,0.0671,0.0411
23,2023-01-15,20230115,2023,1,January,2023-01,8,159.19,158.55,2675,149,4,314.88,1.98,39.8,0.0557,0.0268
