OrderKey,OrderDate,DateKey,CustomerKey,ProductKey,ChannelKey,OrderQuantity,UnitPrice,DiscountRate,Revenue,COGS,ShippingCost,GrossProfit,IsReturn,IsRepeatPurchase,DeviceType,OrderStatus
1,2023-09-17,20230917,2050,31,2,2,55.4,0,110.8,39.12,0,71.68,0,0,Tablet,Completed
2,2023-11-07,20231107,4361,4,4,2,43.78,0.15,74.43,30.36,0,44.07,0,0,Desktop,Completed
3,2023-04-25,20230425,1840,21,3,1,59.37,0,59.37,17.53,11.16,41.84,0,0,Desktop,Completed
4,2023-08-13,20230813,3833,18,2,1,40.04,0,40.04,13.18,9.22,26.86,0,1,Desktop,Completed
5,2023-03-23,20230323,4864,8,6,2,35.27,0,70.54,25.4,0,45.14,0,1,Desktop,Completed
6,2023-06-12,20230612,1308,7,6,1,34.7,0.1,31.23,13.48,12.44,17.75,0,1,Mobile,Completed
7,2023-06-12,20230612,3652,16,1,2,42.08,0,84.16,27.58,0,56.58,0,1,Mobile,Completed
8,2023-04-22,20230422,2701,1,3,2,56.33,0,112.66,44.46,0,68.2,0,0,Mobile,Completed
9,2023-10-22,20231022,1587,16,3,2,42.08,0,84.16,27.58,0,56.58,0,1,Desktop,Completed
10,2023-05-12,20230512,4351,9,6,1,38.96,0.05,37.01,14.62,12.9,22.39,0,0,Mobile,Completed
11,2023-02-09,20230209,1650,1,5,1,56.33,0,56.33,22.23,12.91,34.1,0,0,Desktop,Completed
12,2023-12-23,20231223,3481,27,4,1,36.31,0,36.31,14.98,12.29,21.33,0,0,Desktop,Completed
13,2023-11-07,20231107,4939,29,6,1,27.77,0.2,22.22,9.93,6.66,12.29,0,0,Mobile,Completed
14,2023-11-30,20231130,2520,6,6,1,50.19,0.1,45.17,18.76,6.77,26.41,0,1,Mobile,Completed
15,2023-12-11,20231211,455,12,8,1,41.99,0.1,37.79,18.01,4.99,19.78,0,1,Desktop,Completed
16,2023-11-23,20231123,3144,23,4,1,29.77,0,29.77,12.49,12.97,17.28,0,0,Mobile,Completed
17,2023-05-24,20230524,2919,22,6,3,23.84,0,71.52,28.29,0,43.23,0,1,Desktop,Completed
18,2023-09-18,20230918,1281,29,4,2,27.77,0,55.54,19.86,9.36,35.68,0,1,Desktop,Completed
19,2023-09-11,20230911,493,22,8,1,23.84,0,23.84,9.43,5.23,14.41,0,0,Mobile,Completed
20,2023-07-13,20230713,494,3,5,1,47.56,0,47.56,18.75,11.31,28.81,0,0,Desktop,Completed
21,2023-08-07,20230807,3655,20,4,3,47.33,0,141.99,48.33,0,93.66,0,0,Mobile,Completed
22,2023-03-10,20230310,3860,24,8,1,24.97,0,24.97,11.77,8.6,13.2,0,1,Mobile,Completed
